Two roads diverged in a yellow wood	And sorry I could not travel both
And sorry I could not travel both	And be one traveler long I stood
And be one traveler long I stood	And looked down one as far as I could
And looked down one as far as I could	To where it bent in the undergrowth
Then took the other as just as fair	And having perhaps the better claim
And having perhaps the better claim	Because it was grassy and wanted wear
Because it was grassy and wanted wear	Though as for that the passing there
Though as for that the passing there	Had worn them really about the same
And both that morning equally lay	In leaves no step had trodden black
In leaves no step had trodden black	Oh I kept the first for another day
Oh I kept the first for another day	Yet knowing how way leads on to way
Yet knowing how way leads on to way	I doubted if I should ever come back
I shall be telling this with a sigh	Somewhere ages and ages hence:
Somewhere ages and ages hence:	Two roads diverged in a wood and I
Two roads diverged in a wood and I	I took the one less traveled by
I took the one less traveled by	And that has made all the difference
Whose woods these are I think I know	His house is in the village though
His house is in the village though	He will not see me stopping here
He will not see me stopping here	To watch his woods fill up with snow
My little horse must think it queer	To stop without a farmhouse near
To stop without a farmhouse near	Between the woods and frozen lake
Between the woods and frozen lake	The darkest evening of the year
He gives his harness bells a shake	To ask if there is some mistake
To ask if there is some mistake	The only other sounds the sweep
The only other sounds the sweep	Of easy wind and downy flake
The woods are lovely dark and deep	But I have promises to keep
But I have promises to keep	And miles to go before I sleep
And miles to go before I sleep	And miles to go before I sleep
Some say the world will end in fire	Some say in ice
Some say in ice	From what Ive tasted of desire
From what Ive tasted of desire	I hold with those who favor fire
I hold with those who favor fire	But if it had to perish twice
But if it had to perish twice	I think I know enough of hate
I think I know enough of hate	To say that for destruction ice
To say that for destruction ice	Is also great
Is also great	And would suffice
Natures first green is gold	Her hardest hue to hold
Her hardest hue to hold	Her early leafs a flower
Her early leafs a flower	But only so an hour
But only so an hour	Then leaf subsides to leaf
Then leaf subsides to leaf	So Eden sank to grief
So Eden sank to grief	So dawn goes down to day
So dawn goes down to day	Nothing gold can stay
I have been one acquainted with the night	I have walked out in rain - and back in rain
I have walked out in rain - and back in rain	I have outwalked the furthest city light
I have looked down the saddest city lane	I have passed by the watchman on his beat
I have passed by the watchman on his beat	And dropped my eyes unwilling to explain
I have stood still and stopped the sound of feet	When far away an interrupted cry
When far away an interrupted cry	Came over houses from another street
But not to call me back or say good-bye	And further still at an unearthly height
And further still at an unearthly height	One luminary clock against the sky
Proclaimed the time was neither wrong nor right	I have been one acquainted with the night
When I go up through the mowing field	The headless aftermath
The headless aftermath	Smooth-laid like thatch with the heavy dew
Smooth-laid like thatch with the heavy dew	Half closes the garden path
And when I come to the garden ground	The whir of sober birds
The whir of sober birds	Up from the tangle of withered weeds
Up from the tangle of withered weeds	Is sadder than any words
A tree beside the wall stands bare	But a leaf that lingered brown
But a leaf that lingered brown	Disturbed I doubt not by my thought
Disturbed I doubt not by my thought	Comes softly rattling down
I end not far from my going forth	By picking the faded blue
By picking the faded blue	Of the last remaining aster flower
Of the last remaining aster flower	To carry again to you
A voice said Look me in the stars	And tell me truly men of earth
And tell me truly men of earth	If all the soul-and-body scars
If all the soul-and-body scars	Were not too much to pay for birth
To think to know the country and now know	The hillside on the day the sun lets go
The hillside on the day the sun lets go	Ten million silver lizards out of snow
Ten million silver lizards out of snow	As often as Ive seen it done before
As often as Ive seen it done before	I cant pretend to tell the way its done
I cant pretend to tell the way its done	It looks as if some magic of the sun
It looks as if some magic of the sun	Lifted the rug that bred them on the floor
Lifted the rug that bred them on the floor	And the light breaking on them made them run
And the light breaking on them made them run	But if I though to stop the wet stampede
But if I though to stop the wet stampede	And caught one silver lizard by the tail
And caught one silver lizard by the tail	And put my foot on one without avail
And put my foot on one without avail	And threw myself wet-elbowed and wet-kneed
And threw myself wet-elbowed and wet-kneed	In front of twenty others wriggling speed-
In front of twenty others wriggling speed-	In the confusion of them all aglitter
In the confusion of them all aglitter	And birds that joined in the excited fun
And birds that joined in the excited fun	By doubling and redoubling song and twitter
By doubling and redoubling song and twitter	I have no doubt Id end by holding none
It takes the moon for this The suns a wizard	By all I tell but sos the moon a witch
By all I tell but sos the moon a witch	From the high west she makes a gentle cast
From the high west she makes a gentle cast	And suddenly without a jerk or twitch
And suddenly without a jerk or twitch	She has her speel on every single lizard
She has her speel on every single lizard	I fancied when I looked at six oclock
I fancied when I looked at six oclock	The swarm still ran and scuttled just as fast
The swarm still ran and scuttled just as fast	The moon was waiting for her chill effect
The moon was waiting for her chill effect	I looked at nine: the swarm was turned to rock
I looked at nine: the swarm was turned to rock	In every lifelike posture of the swarm
In every lifelike posture of the swarm	Transfixed on mountain slopes almost erect
Transfixed on mountain slopes almost erect	Across each other and side by side they lay
Across each other and side by side they lay	The spell that so could hold them as they were
The spell that so could hold them as they were	Was wrought through trees without a breath of storm
Was wrought through trees without a breath of storm	To make a leaf if there had been one stir
To make a leaf if there had been one stir	One lizard at the end of every ray
One lizard at the end of every ray	The thought of my attempting such a stray
ONCE on the kind of day called "weather breeder"	When the heat slowly hazes and the sun
When the heat slowly hazes and the sun	By its own power seems to be undone
By its own power seems to be undone	I was half boring through half climbing through
I was half boring through half climbing through	A swamp of cedar Choked with oil of cedar
A swamp of cedar Choked with oil of cedar	And scurf of plants and weary and over-heated
And scurf of plants and weary and over-heated	And sorry I ever left the road I knew
And sorry I ever left the road I knew	I paused and rested on a sort of hook
I paused and rested on a sort of hook	That had me by the coat as good as seated
That had me by the coat as good as seated	And since there was no other way to look
And since there was no other way to look	Looked up toward heaven and there against the blue
Looked up toward heaven and there against the blue	Stood over me a resurrected tree
Stood over me a resurrected tree	A tree that had been down and raised again—
A tree that had been down and raised again—	A barkless spectre He had halted too
A barkless spectre He had halted too	As if for fear of treading upon me
As if for fear of treading upon me	I saw the strange position of his hands—
I saw the strange position of his hands—	Up at his shoulders dragging yellow strands
Up at his shoulders dragging yellow strands	Of wire with something in it from men to men
Of wire with something in it from men to men	"You here?" I said "Where arent you nowadays
"You here?" I said "Where arent you nowadays	And whats the news you carry—if you know?
And whats the news you carry—if you know?	And tell me where youre off for—Montreal?
And tell me where youre off for—Montreal?	Me? Im not off for anywhere at all
Me? Im not off for anywhere at all	Sometimes I wander out of beaten ways
Sometimes I wander out of beaten ways	Half looking for the orchid Calypso"
Brown lived at such a lofty farm	That everyone for miles could see
That everyone for miles could see	His lantern when he did his chores
His lantern when he did his chores	In winter after half-past three
And many must have seen him make	His wild descent from there one night
His wild descent from there one night	Cross lots cross walls cross everything
Cross lots cross walls cross everything	Describing rings of lantern light
Between the house and barn the gale	Got him by something he had on
Got him by something he had on	And blew him out on the icy crust
And blew him out on the icy crust	That cased the world and he was gone
Walls were all buried trees were few:	He saw no stay unless he stove
He saw no stay unless he stove	A hole in somewhere with his heel
A hole in somewhere with his heel	But though repeatedly he strove
And stamped and said things to himself	And sometimes something seemed to yield
And sometimes something seemed to yield	He gained no foothold but pursued
He gained no foothold but pursued	His journey down from field to field
Sometimes he came with arms outspread	Like wings revolving in the scene
Like wings revolving in the scene	Upon his longer axis and
Upon his longer axis and	With no small dignity of mien
Faster or slower as he chanced	Sitting or standing as he chose
Sitting or standing as he chose	According as he feared to risk
According as he feared to risk	His neck or thought to spare his clothes
He never let the lantern drop	And some exclaimed who saw afar
And some exclaimed who saw afar	The figures he described with it
The figures he described with it	"I wonder what those signals are
Brown makes at such an hour of night	Hes celebrating something strange
Hes celebrating something strange	I wonder if hes sold his farm
I wonder if hes sold his farm	Or been made Master of the Grange"
He reeled he lurched he bobbed he checked	He fell and made the lantern rattle
He fell and made the lantern rattle	(But saved the light from going out)
(But saved the light from going out)	So half-way down he fought the battle
Incredulous of his own bad luck	And then becoming reconciled
And then becoming reconciled	To everything he gave it up
To everything he gave it up	And came down like a coasting child
"Well—I—be—" that was all he said	As standing in the river road
As standing in the river road	He looked back up the slippery slope
He looked back up the slippery slope	(Two miles it was) to his abode
Sometimes as an authority	On motor-cars Im asked if I
On motor-cars Im asked if I	Should say our stock was petered out
Should say our stock was petered out	And this is my sincere reply:
Yankees are what they always were	Dont think Brown ever gave up hope
Dont think Brown ever gave up hope	Of getting home again because
Of getting home again because	He couldnt climb that slippery slope
Or even thought of standing there	Until the January thaw
Until the January thaw	Should take the polish off the crust
Should take the polish off the crust	He bowed with grace to natural law
And then went round it on his feet	After the manner of our stock
After the manner of our stock	Not much concerned for those to whom
Not much concerned for those to whom	At that particular time oclock
It must have looked as if the course	He steered was really straight away
He steered was really straight away	From that which he was headed for—
From that which he was headed for—	Not much concerned for them I say:
No more so than became a man—	And politician at odd seasons
And politician at odd seasons	Ive kept Brown standing in the cold
Ive kept Brown standing in the cold	While I invested him with reasons
But now he snapped his eyes three times	Then shook his lantern saying "Iles
Then shook his lantern saying "Iles	Bout out" and took the long way home
Bout out" and took the long way home	By road a matter of several miles
NOW that theyve got it settled whose I be	Im going to tell them something they wont like:
Im going to tell them something they wont like:	Theyve got it settled wrong and I can prove it
Theyve got it settled wrong and I can prove it	Flattered I must be to have two towns fighting
Flattered I must be to have two towns fighting	To make a present of me to each other
To make a present of me to each other	They dont dispose me either one of them
They dont dispose me either one of them	To spare them any trouble Double troubles
To spare them any trouble Double troubles	Always the witchs motto anyway
Always the witchs motto anyway	Ill double theirs for both of them- you watch me
Ill double theirs for both of them- you watch me	Theyll find theyve got the whole thing to do over
Theyll find theyve got the whole thing to do over	That is if facts is what they want to go by
That is if facts is what they want to go by	They set a lot (now dont they?) by a record
They set a lot (now dont they?) by a record	Of Arthur Amys having once been up
Of Arthur Amys having once been up	For Hog Reeve in March Meeting here in Warren
For Hog Reeve in March Meeting here in Warren	I could have told them any time this twelvemonth
I could have told them any time this twelvemonth	The Arthur Amy I was married to
The Arthur Amy I was married to	Couldnt have been the one they say was up
Couldnt have been the one they say was up	In Warren at March Meeting for the reason
In Warren at March Meeting for the reason	He want but fifteen at the time they say
He want but fifteen at the time they say	The Arthur Amy I was married to
The Arthur Amy I was married to	voted the only times he ever voted
voted the only times he ever voted	Which wasnt many in the town of Wentworth
Which wasnt many in the town of Wentworth	One of the times was when twas in the warrant
One of the times was when twas in the warrant	To see if the town wanted to take over
To see if the town wanted to take over	The tote road to our clearing where we lived
The tote road to our clearing where we lived	Ill tell you whod remember- Heman Lapish
Ill tell you whod remember- Heman Lapish	Their Arthur Amy was the father of mine
Their Arthur Amy was the father of mine	So now theyve dragged it through the law courts once
So now theyve dragged it through the law courts once	I guess theyd better drag it through again
I guess theyd better drag it through again	Wentworth and Warrens both good towns to live in
Wentworth and Warrens both good towns to live in	Only I happen to prefer to live
Only I happen to prefer to live	In Wentworth from now on and when alls said
In Wentworth from now on and when alls said	Rights right and the temptation to do right
Rights right and the temptation to do right	When I can hurt someone by doing it
When I can hurt someone by doing it	Has always been too much for me it has
Has always been too much for me it has	I know of some folks thatd be set up
I know of some folks thatd be set up	At having in their town a noted witch:
At having in their town a noted witch:	But most would have to think of the expense
But most would have to think of the expense	That even I would be They ought to know
That even I would be They ought to know	That as a witch Id often milk a bat
That as a witch Id often milk a bat	And thatd be enough to last for days
And thatd be enough to last for days	Itd make my position stronger I think
Itd make my position stronger I think	If I was to consent to give some sign
If I was to consent to give some sign	To make it surer that I was a witch?
To make it surer that I was a witch?	It want no sign I spose when Mallice Huse
It want no sign I spose when Mallice Huse	Said that I took him out in his old age
Said that I took him out in his old age	And rode all over everything on him
And rode all over everything on him	Until Id had him worn to skin and bones
Until Id had him worn to skin and bones	And if Id left him hitched unblanketed
And if Id left him hitched unblanketed	In front of one Town Hall Id left him hitched
In front of one Town Hall Id left him hitched	In front of every one in Grafton County
In front of every one in Grafton County	Some cried shame on me not to blanket him
Some cried shame on me not to blanket him	The poor old man It would have been all right
The poor old man It would have been all right	If some one hadnt said to gnaw the posts
If some one hadnt said to gnaw the posts	He stood beside and leave his trade mark on them
He stood beside and leave his trade mark on them	So they could recognize them Not a post
So they could recognize them Not a post	That they could hear tell of was scarified
That they could hear tell of was scarified	They made him keep on gnawing till he whined
They made him keep on gnawing till he whined	Then that same smarty someone said to look-
Then that same smarty someone said to look-	Hed bet Huse was a cribber and had gnawed
Hed bet Huse was a cribber and had gnawed	The crib he slept in- and as sures youre born
The crib he slept in- and as sures youre born	They found hed gnawed the four posts of his bed
They found hed gnawed the four posts of his bed	All four of them to splinters What did that prove?
All four of them to splinters What did that prove?	Not that he hadnt gnawed the hitching posts
Not that he hadnt gnawed the hitching posts	He said he had besides Because a horse
He said he had besides Because a horse	Gnaws in the stable aint no proof to me
Gnaws in the stable aint no proof to me	He dont gnaw trees and posts and fences too
He dont gnaw trees and posts and fences too	But everybody took it for proof
But everybody took it for proof	I was a strapping girl of twenty then
I was a strapping girl of twenty then	The smarty someone who spoiled everything
The smarty someone who spoiled everything	Was Arthur Amy You know who he was
Was Arthur Amy You know who he was	That was the way he started courting me
That was the way he started courting me	He never said much after we were married
He never said much after we were married	But I mistrusted he was none too proud
But I mistrusted he was none too proud	Of having interfered in the Huse business
Of having interfered in the Huse business	I guess he found he got more out of me
I guess he found he got more out of me	By having me a witch Or something happened
By having me a witch Or something happened	To turn him round He got to saying things
To turn him round He got to saying things	To undo what hed done and make it right
To undo what hed done and make it right	Like No she aint come back from kiting yet
Like No she aint come back from kiting yet	Last night was one of her nights out Shes kiting
Last night was one of her nights out Shes kiting	She thinks when the wind makes a night of it
She thinks when the wind makes a night of it	She might as well herself But he liked best
She might as well herself But he liked best	To let on he was plagued to death with me:
To let on he was plagued to death with me:	If anyone had seen me coming home
If anyone had seen me coming home	Over the ridgepole stride of a broomstick
Over the ridgepole stride of a broomstick	As often as he had in the tail of the night
As often as he had in the tail of the night	He guessed theyd know what he had to put up with
He guessed theyd know what he had to put up with	Well I showed Arthur Amy signs enough
Well I showed Arthur Amy signs enough	Off from the house as far as we could keep
Off from the house as far as we could keep	And from barn smells you cant wash out of ploughed ground
And from barn smells you cant wash out of ploughed ground	With all the rain and snow of seven years
With all the rain and snow of seven years	And I dont mean just skulls of Rogers Rangers
And I dont mean just skulls of Rogers Rangers	On Moosilauke but woman signs to man
On Moosilauke but woman signs to man	Only bewitched so I would last him longer
Only bewitched so I would last him longer	Up where the trees grow short the mosses tall
Up where the trees grow short the mosses tall	I made him gather me wet snow berries
I made him gather me wet snow berries	On slippery rocks beside a waterfall
On slippery rocks beside a waterfall	I made him do it for me in the dark
I made him do it for me in the dark	And he liked everything I made him do
And he liked everything I made him do	I hope if he is where he sees me now
I hope if he is where he sees me now	Hes so far off he cant see what Ive come to
Hes so far off he cant see what Ive come to	You _can_ come down from everything to nothing
You _can_ come down from everything to nothing	All is if Id a-known when I was young
All is if Id a-known when I was young	And full of it that this would be the end
And full of it that this would be the end	It doesnt seem as if Id had the courage
It doesnt seem as if Id had the courage	To make so free and kick up in folks faces
To make so free and kick up in folks faces	I might have but it doesnt seem as if
Old Davis owned a solid mica mountain	In Dalton that would someday make his fortune
In Dalton that would someday make his fortune	Thered been some Boston people out to see it:
Thered been some Boston people out to see it:	And experts said that deep down in the mountain
And experts said that deep down in the mountain	The mica sheets were big as plate-glass windows
The mica sheets were big as plate-glass windows	Hed like to take me there and show it to me
Ill tell you what you show me You remember	You said you knew the place where once on Kinsman
You said you knew the place where once on Kinsman	The early Mormons made a settlement
The early Mormons made a settlement	And built a stone baptismal font outdoors-
And built a stone baptismal font outdoors-	But Smith or someone called them off the mountain
But Smith or someone called them off the mountain	To go West to a worse fight with the desert
To go West to a worse fight with the desert	You said youd seen the stone baptismal font
You said youd seen the stone baptismal font	Well take me there
Huh that old bathtub what is that to see?	Lets talk about it
To shut you up Ill tell you what Ill do:	Ill find that fountain if it takes all summer
Ill find that fountain if it takes all summer	And both of our united strengths to do it
Not so but I can find it	No doubt its grown up some to woods around it
No doubt its grown up some to woods around it	The mountain may have shifted since I saw it
The mountain may have shifted since I saw it	In eighty-five
If I remember rightly it had sprung	A leak and emptied then And forty years
A leak and emptied then And forty years	Can do a good deal to bad masonry
Can do a good deal to bad masonry	You wont see any Mormon swimming in it
You wont see any Mormon swimming in it	But you have said it and were off to find it
But you have said it and were off to find it	Old as I am Im going to let myself
Old as I am Im going to let myself	Be dragged by you all over everywhere- 
Be dragged by you all over everywhere- 	I thought you were a guide
I am a guide	And thats why I cant decently refuse you
We made a day of it out of the world	Ascending to descend to reascend
Ascending to descend to reascend	The old man seriously took his bearings
The old man seriously took his bearings	And spoke his doubts in every open place
We came out on a look-off where we faced	A cliff and on the cliff a bottle painted
A cliff and on the cliff a bottle painted	Or stained by vegetation from above
Or stained by vegetation from above	A likeness to surprise the thrilly tourist
Well if I havent brought you to the fountain	At least Ive brought you to the famous Bottle
I guess youd find the fountain just as empty	And anyway this tells me where I am
You mean miles from that Mormon settlement?	Look here you treat your guide with due respect
Look here you treat your guide with due respect	If you dont want to spend the night outdoors
If you dont want to spend the night outdoors	I vow we must be near the place from where
I vow we must be near the place from where	The two converging slides the avalanches
The two converging slides the avalanches	On Marshall look like donkeys ears
On Marshall look like donkeys ears	We may as well see that and save the day
For Gods sake arent you fond of viewing nature?	You dont like nature All you like is books
You dont like nature All you like is books	What signify a donkeys cars and bottle
What signify a donkeys cars and bottle	However natural? Give you your books
However natural? Give you your books	Well then right here is where I show you books
Well then right here is where I show you books	Come straight down off this mountain just as fast
Come straight down off this mountain just as fast	As we can fall and keep a-bouncing on our feet
As we can fall and keep a-bouncing on our feet	Its hell for knees unless done hell-for-leather
We struck a road I didnt recognize	But welcomed for the chance to lave my shoes
But welcomed for the chance to lave my shoes	In dust once more We followed this a mile
In dust once more We followed this a mile	Perhaps to where it ended at a house
Perhaps to where it ended at a house	I didnt know was there It was the kind
I didnt know was there It was the kind	To bring me to for broad-board paneling
To bring me to for broad-board paneling	I never saw so good a house deserted
Excuse me if I ask you in a window	That happens to be broken Davis said
That happens to be broken Davis said	The outside doors as yet have held against us
The outside doors as yet have held against us	I want to introduce you to the people
I want to introduce you to the people	Who used to live here They were Robinsons
Who used to live here They were Robinsons	You must have heard of Clara Robinson
You must have heard of Clara Robinson	The poetess who wrote the book of verses
The poetess who wrote the book of verses	And had it published It was all about
And had it published It was all about	The posies on her inner windowsill
The posies on her inner windowsill	And the birds on her outer windowsill
And the birds on her outer windowsill	And how she tended both or had them tended:
And how she tended both or had them tended:	She never tended anything herself
She never tended anything herself	She was shut in for life She lived her whole
She was shut in for life She lived her whole	Life long in bed and wrote her things in bed
Life long in bed and wrote her things in bed	Ill show You how she had her sills extended
Ill show You how she had her sills extended	To entertain the birds and hold the flowers
To entertain the birds and hold the flowers	Our business firsts up attic with her books
